Name,MOID(AU)
294P/LINEAR,0.8270849146942224
C/2018 Y1 (Iwamoto),0.831204882901022
34D/Gale,0.8403752102940654
7P/Pons-Winnecke,0.8467746494234182
62P/Tsuchinshan,0.8475778889443264
181P/Shoemaker-Levy,0.8544800267859225
P/2015 A3 (PANSTARRS),0.8580798933467063
319P/Catalina-McNaught,0.8615234538130723
189P/NEAT,0.8638893005011059
317P/WISE,0.8647784416422459
13P/Olbers,0.8650451812160499
67P/Churyumov-Gerasimenko,0.8685947739713028
201P/LONEOS,0.8714219946025383
365P/PANSTARRS,0.8726205355042413
C/2022 A1 (Sarneczky),0.8806751870475186
339P/Gibbs,0.8870249453787271
P/2021 Q5 (ATLAS),0.8895673900629889
P/2017 Y3 (Leonard),0.890734243799147
P/2021 PE20 (ATLAS),0.905596087274562
P/2006 HR30 (Siding Spring),0.9099135640114524
387P/Boattini,0.9158463187705688
217P/LINEAR,0.926298146008246
398P/Boattini,0.9264195135545408
267P/LONEOS,0.9294807980579989
304P/Ory,0.9373457287082789
C/2022 B4 (Bok),0.9425829466283043
262P/McNaught-Russell,0.9452447269668511
C/2020 M3 (ATLAS),0.9508742048926638
A/2019 Q2,0.9550974903138514
19P/Borrelly,0.9552314494195541
66P/duToit,0.9559051208360411
C/2022 U2 (ATLAS),0.9559402025996737
306P/LINEAR,0.9610345281180595
459P/Catalina,0.9697137606652002
D/1978 R1 (Haneda-Campos),0.9723165491082725
162P/SidingSpring,0.9731863430875676
25D/Neujmin 2,0.9771131354390958
C/2020 Q1 (Borisov),0.979712806248402
D/1884 O1 (Barnard),0.9910271806958622
P/2012 NJ (La Sagra),0.9914511587955985
P/2013 W1 (PANSTARRS),0.9955121070916146
A/2018 V3,1.0019958052904578
C/2021 A2 (NEOWISE),1.0032968556123611
144P/Kushida,1.004047160783478
88P/Howell,1.0045986852847493
225P/LINEAR,1.0083041292991026
A/2023 R3,1.0086013488163201
156P/Russell-LINEAR,1.0118529215182759
325P/Yang-Gao,1.022375029008928
6P/d'Arrest,1.0303571345088682
417P/NEOWISE,1.03425400431384
161P/Hartley-IRAS,1.039191080809573
C/2021 A10 (NEOWISE),1.0421241830207446
461P/WISE,1.0422932707794488
C/2018 R3 (Lemmon),1.0481378170261444
49P/Arend-Rigaux,1.0483821589572375
168P/Hergenrother,1.0506004075426696
11P/Tempel-Swift-LINEAR,1.0571081693115847
424P/LaSagra,1.059376176718436
64P/Swift-Gehrels,1.0689467882334358
58P/Jackson-Neujmin,1.0735932637952035
